"id","Cube_mediaType","Cube_TotalCount","Cube_AnswerCount","Cube_diff","Cube_RankRatio","Cube_rankOrder"
"CUA","3D",136,132,4,0.970588235294118,1
"CUD","2D",135,127,8,0.940740740740741,2
"DAM3D005","T",129,119,10,0.922480620155039,3
"DAM3D011","T",111,99,12,0.891891891891892,4
"DAM3D012","P",110,98,12,0.890909090909091,5
"DAM3D060","F",109,97,12,0.889908256880734,6
"DAM3D011","F",105,93,12,0.885714285714286,7
"DAM3D013","F",96,84,12,0.875,8
"DAM3D030","F",134,116,18,0.865671641791045,9
"DAM3D005","P",126,109,17,0.865079365079365,10
"DAM3D012","F",116,99,17,0.853448275862069,11
"DAM3D060","T",132,112,20,0.848484848484849,12
"DAM3D065","P",119,98,21,0.823529411764706,13
"DAM3D012","T",116,95,21,0.818965517241379,14
"DAM3D030","T",122,99,23,0.811475409836066,15
"DAM3D060","P",125,101,24,0.808,16
"DAM3D061","F",131,103,28,0.786259541984733,17
"DAM3D030","P",113,88,25,0.778761061946903,18
"DAM3D013","P",112,86,26,0.767857142857143,19
"DAM3D009","T",117,89,28,0.760683760683761,20
"DAM3D056","P",144,109,35,0.756944444444444,21
"DAM3D045","P",111,80,31,0.720720720720721,22
"DAM3D033","F",124,87,37,0.701612903225806,23
"DAM3D009","P",144,101,43,0.701388888888889,24
"DAM3D061","T",130,91,39,0.7,25
"DAM3D021","P",116,81,35,0.698275862068966,26
"DAM3D033","T",141,97,44,0.687943262411348,27
"DAM3D063","P",103,70,33,0.679611650485437,28
"DAM3D020","T",146,99,47,0.678082191780822,29
"DAM3D064","P",104,70,34,0.673076923076923,30
"DAM3D054","P",116,78,38,0.672413793103448,31
"DAM3D038","F",123,82,41,0.666666666666667,32
"DAM3D065","F",122,81,41,0.663934426229508,33
"DAM3D013","T",127,84,43,0.661417322834646,34
"DAM3D062","T",112,74,38,0.660714285714286,35
"DAM3D059","F",130,85,45,0.653846153846154,36
"DAM3D069","P",114,74,40,0.649122807017544,37
"DAM3D050","F",148,96,52,0.648648648648649,38
"DAM3D014","T",122,79,43,0.647540983606557,39
"DAM3D041","F",130,84,46,0.646153846153846,40
"DAM3D026","T",107,69,38,0.644859813084112,41
"DAM3D047","F",123,79,44,0.642276422764228,42
"DAM3D059","P",147,94,53,0.639455782312925,43
"DAM3D020","P",121,77,44,0.636363636363636,44
"DAM3D064","F",132,84,48,0.636363636363636,45
"DAM3D045","F",123,78,45,0.634146341463415,46
"DAM3D029","F",112,71,41,0.633928571428571,47
"DAM3D029","T",117,74,43,0.632478632478632,48
"DAM3D065","T",132,83,49,0.628787878787879,49
"DAM3D015","P",126,79,47,0.626984126984127,50
"DAM3D028","F",120,75,45,0.625,51
"DAM3D007","T",106,66,40,0.622641509433962,52
"DAM3D020","F",103,64,39,0.621359223300971,53
"DAM3D028","P",110,68,42,0.618181818181818,54
"DAM3D014","F",138,85,53,0.615942028985507,55
"DAM3D027","P",119,73,46,0.613445378151261,56
"DAM3D014","P",142,87,55,0.612676056338028,57
"DAM3D036","P",118,72,46,0.610169491525424,58
"DAM3D041","T",120,73,47,0.608333333333333,59
"DAM3D007","P",114,69,45,0.605263157894737,60
"DAM3D045","T",119,72,47,0.605042016806723,61
"DAM3D026","F",105,63,42,0.6,62
"DAM3D069","T",115,69,46,0.6,63
"DAM3D063","T",126,74,52,0.587301587301587,64
"DAM3D006","P",109,64,45,0.587155963302752,65
"DAM3D056","F",123,72,51,0.585365853658537,66
"DAM3D004","T",118,69,49,0.584745762711864,67
"DAM3D031","P",108,63,45,0.583333333333333,68
"DAM3D047","T",103,60,43,0.58252427184466,69
"DAM3D068","F",130,75,55,0.576923076923077,70
"DAM3D036","T",151,87,64,0.576158940397351,71
"DAM3D028","T",139,80,59,0.575539568345324,72
"DAM3D061","P",121,69,52,0.570247933884298,73
"DAM3D025","T",136,77,59,0.566176470588235,74
"DAM3D067","T",126,71,55,0.563492063492063,75
"DAM3D067","P",119,67,52,0.563025210084034,76
"DAM3D062","P",124,69,55,0.556451612903226,77
"DAM3D039","T",124,68,56,0.548387096774194,78
"DAM3D031","F",146,80,66,0.547945205479452,79
"DAM3D002","P",130,71,59,0.546153846153846,80
"DAM3D041","P",125,68,57,0.544,81
"DAM3D033","P",138,75,63,0.543478260869565,82
"DAM3D062","F",115,62,53,0.539130434782609,83
"DAM3D024","P",134,72,62,0.537313432835821,84
"DAM3D006","T",123,66,57,0.536585365853659,85
"DAM3D050","T",97,52,45,0.536082474226804,86
"DAM3D002","F",124,66,58,0.532258064516129,87
"DAM3D059","T",128,68,60,0.53125,88
"DAM3D009","F",134,71,63,0.529850746268657,89
"DAM3D066","P",121,64,57,0.528925619834711,90
"DAM3D063","F",125,66,59,0.528,91
"DAM3D066","T",108,57,51,0.527777777777778,92
"DAM3D026","P",116,61,55,0.525862068965517,93
"DAM3D039","F",124,65,59,0.524193548387097,94
"DAM3D039","P",113,59,54,0.52212389380531,95
