"id","CYL_mediaType","CYL_TotalCount","CYL_AnswerCount","CYL_diff","CYL_RankRatio","CYL_rankOrder"
"CYA","3D",114,112,2,0.982456140350877,1
"DAM3D060","F",96,94,2,0.979166666666667,2
"CYD","2D",113,110,3,0.973451327433628,3
"DAM3D027","F",106,100,6,0.943396226415094,4
"DAM3D030","T",108,99,9,0.916666666666667,5
"DAM3D060","P",104,95,9,0.913461538461538,6
"DAM3D068","F",121,110,11,0.909090909090909,7
"DAM3D039","F",113,102,11,0.902654867256637,8
"DAM3D030","P",119,107,12,0.899159663865546,9
"DAM3D033","T",117,105,12,0.897435897435897,10
"DAM3D011","T",105,93,12,0.885714285714286,11
"DAM3D012","F",111,98,13,0.882882882882883,12
"DAM3D039","T",112,98,14,0.875,13
"DAM3D065","P",109,95,14,0.871559633027523,14
"DAM3D019","P",115,100,15,0.869565217391304,15
"DAM3D061","T",100,86,14,0.86,16
"DAM3D045","P",121,104,17,0.859504132231405,17
"DAM3D068","T",110,94,16,0.854545454545454,18
"DAM3D045","T",108,92,16,0.851851851851852,19
"DAM3D027","T",120,102,18,0.85,20
"DAM3D060","T",93,78,15,0.838709677419355,21
"DAM3D005","T",125,104,21,0.832,22
"DAM3D030","F",123,102,21,0.829268292682927,23
"DAM3D013","F",103,85,18,0.825242718446602,24
"DAM3D013","P",116,94,22,0.810344827586207,25
"DAM3D009","T",121,98,23,0.809917355371901,26
"DAM3D033","P",124,99,25,0.798387096774194,27
"DAM3D053","P",100,79,21,0.79,28
"DAM3D011","P",118,93,25,0.788135593220339,29
"DAM3D061","P",117,92,25,0.786324786324786,30
"DAM3D002","F",120,94,26,0.783333333333333,31
"DAM3D065","F",87,68,19,0.781609195402299,32
"DAM3D015","P",105,82,23,0.780952380952381,33
"DAM3D056","P",104,81,23,0.778846153846154,34
"DAM3D005","P",108,84,24,0.777777777777778,35
"DAM3D005","F",102,79,23,0.774509803921569,36
"DAM3D033","F",115,89,26,0.773913043478261,37
"DAM3D020","P",109,84,25,0.770642201834862,38
"DAM3D012","T",122,94,28,0.770491803278688,39
"DAM3D045","F",124,95,29,0.766129032258065,40
"DAM3D039","P",123,94,29,0.764227642276423,41
"DAM3D065","T",87,66,21,0.758620689655172,42
"DAM3D012","P",130,98,32,0.753846153846154,43
"DAM3D062","P",120,88,32,0.733333333333333,44
"DAM3D002","P",117,85,32,0.726495726495726,45
"DAM3D066","F",123,89,34,0.723577235772358,46
"DAM3D023","P",109,78,31,0.715596330275229,47
"DAM3D011","F",116,81,35,0.698275862068966,48
"DAM3D007","F",95,66,29,0.694736842105263,49
"DAM3D013","T",115,79,36,0.68695652173913,50
"DAM3D001","P",111,75,36,0.675675675675676,51
"DAM3D064","F",114,77,37,0.675438596491228,52
"DAM3D066","T",97,65,32,0.670103092783505,53
"DAM3D009","P",117,77,40,0.658119658119658,54
"DAM3D009","F",111,72,39,0.648648648648649,55
"DAM3D051","F",105,68,37,0.647619047619048,56
"DAM3D047","F",99,64,35,0.646464646464647,57
"DAM3D056","T",100,64,36,0.64,58
"DAM3D056","F",111,71,40,0.63963963963964,59
"DAM3D007","T",130,82,48,0.630769230769231,60
"DAM3D007","P",124,78,46,0.629032258064516,61
"DAM3D025","P",121,76,45,0.628099173553719,62
"DAM3D025","T",95,58,37,0.610526315789474,63
"DAM3D027","P",118,72,46,0.610169491525424,64
"DAM3D017","F",94,57,37,0.606382978723404,65
"DAM3D004","T",106,64,42,0.60377358490566,66
"DAM3D059","F",123,74,49,0.601626016260163,67
"DAM3D032","T",111,65,46,0.585585585585586,68
"DAM3D032","F",104,60,44,0.576923076923077,69
"DAM3D023","T",106,61,45,0.575471698113208,70
"DAM3D032","P",111,63,48,0.567567567567568,71
"DAM3D029","P",120,68,52,0.566666666666667,72
"DAM3D017","P",121,68,53,0.56198347107438,73
"DAM3D051","P",91,51,40,0.56043956043956,74
"DAM3D064","T",118,66,52,0.559322033898305,75
"DAM3D029","T",105,58,47,0.552380952380952,76
"DAM3D001","F",131,72,59,0.549618320610687,77
"DAM3D001","T",112,60,52,0.535714285714286,78
"DAM3D014","F",110,57,53,0.518181818181818,79
"DAM3D014","P",93,48,45,0.516129032258065,80
"DAM3D020","T",110,56,54,0.509090909090909,81
"DAM3D019","F",105,53,52,0.504761904761905,82
"DAM3D025","F",124,62,62,0.5,83
"DAM3D059","T",120,60,60,0.5,84
"DAM3D019","T",133,66,67,0.496240601503759,85
"DAM3D014","T",113,56,57,0.495575221238938,86
"DAM3D036","P",103,50,53,0.485436893203884,87
"DAM3D008","P",117,56,61,0.478632478632479,88
"DAM3D067","T",105,50,55,0.476190476190476,89
"DAM3D064","P",108,51,57,0.472222222222222,90
"DAM3D029","F",116,54,62,0.46551724137931,91
"DAM3D004","F",112,52,60,0.464285714285714,92
"DAM3D054","P",102,47,55,0.46078431372549,93
"DAM3D066","P",105,48,57,0.457142857142857,94
"DAM3D023","F",125,57,68,0.456,95
"DAM3D046","F",123,55,68,0.447154471544715,96
"DAM3D040","F",103,46,57,0.446601941747573,97
"DAM3D038","F",99,44,55,0.444444444444444,98
"DAM3D047","T",91,40,51,0.43956043956044,99
"DAM3D028","P",122,53,69,0.434426229508197,100
"DAM3D044","F",126,54,72,0.428571428571429,101
"DAM3D026","F",129,54,75,0.418604651162791,102
"DAM3D026","T",101,42,59,0.415841584158416,103
"DAM3D017","T",128,53,75,0.4140625,104
"DAM3D069","T",104,43,61,0.413461538461538,105
"DAM3D028","T",110,45,65,0.409090909090909,106
"DAM3D031","P",108,44,64,0.407407407407407,107
"DAM3D049","P",112,45,67,0.401785714285714,108
"DAM3D024","F",90,36,54,0.4,109
"DAM3D036","T",115,45,70,0.391304347826087,110
"DAM3D050","F",128,50,78,0.390625,111
"DAM3D018","P",112,43,69,0.383928571428571,112
"DAM3D069","P",118,45,73,0.38135593220339,113
"DAM3D020","F",121,46,75,0.380165289256198,114
"DAM3D059","P",106,40,66,0.377358490566038,115
"DAM3D006","P",114,43,71,0.37719298245614,116
"DAM3D021","F",114,43,71,0.37719298245614,117
"DAM3D006","T",110,41,69,0.372727272727273,118
"DAM3D063","F",105,39,66,0.371428571428571,119
"DAM3D031","F",89,33,56,0.370786516853933,120
"DAM3D058","P",119,44,75,0.369747899159664,121
"DAM3D067","F",109,40,69,0.36697247706422,122
"DAM3D038","T",103,37,66,0.359223300970874,123
"DAM3D048","T",117,42,75,0.358974358974359,124
"DAM3D026","P",123,44,79,0.357723577235772,125
"DAM3D048","P",96,34,62,0.354166666666667,126
"DAM3D041","T",116,41,75,0.353448275862069,127
"DAM3D063","T",119,42,77,0.352941176470588,128
"DAM3D036","F",90,31,59,0.344444444444444,129
"DAM3D048","F",102,35,67,0.343137254901961,130
"DAM3D018","T",114,39,75,0.342105263157895,131
"DAM3D050","T",127,43,84,0.338582677165354,132
"DAM3D041","F",130,44,86,0.338461538461538,133
"DAM3D063","P",119,40,79,0.336134453781513,134
"DAM3D038","P",114,38,76,0.333333333333333,135
"DAM3D046","P",102,34,68,0.333333333333333,136
