"id","DAP_mediaType","DAP_TotalCount","DAP_AnswerCount","DAP_diff","DAP_RankRatio","DAP_rankOrder"
"DAMa007","T",63,60,3,0.952380952380952,1
"DAMa025","F",61,58,3,0.950819672131147,2
"DAMa003","F",55,52,3,0.945454545454545,3
"DAMa024","T",52,49,3,0.942307692307692,4
"DAMa022","T",83,78,5,0.939759036144578,5
"DAMa005","F",65,61,4,0.938461538461538,6
"DAMa017","F",64,60,4,0.9375,7
"DAM3D029","P",63,59,4,0.936507936507937,8
"DAM3D015","P",77,72,5,0.935064935064935,9
"DAM3D027","T",57,53,4,0.929824561403509,10
"DAMa022","F",65,60,5,0.923076923076923,11
"DAM3D012","P",64,59,5,0.921875,12
"DAMa025","T",76,70,6,0.921052631578947,13
"DAMa019","T",60,55,5,0.916666666666667,14
"DAMa024","F",58,53,5,0.913793103448276,15
"DAMa013","F",73,66,7,0.904109589041096,16
"DAMa015","T",58,52,6,0.896551724137931,17
"DAMa003","T",55,49,6,0.890909090909091,18
"DAMa004","F",81,72,9,0.888888888888889,19
"DAMa009","F",70,62,8,0.885714285714286,20
"DAMa013","T",76,67,9,0.881578947368421,21
"DAMa007","F",67,59,8,0.880597014925373,22
"DAMa017","T",75,66,9,0.88,23
"DAM3D060","P",58,51,7,0.879310344827586,24
"DAMa015","F",58,51,7,0.879310344827586,25
"DAM3D039","T",66,58,8,0.878787878787879,26
"DAM3D030","F",72,63,9,0.875,27
"DAMa006","F",70,61,9,0.871428571428571,28
"DAMa014","T",70,61,9,0.871428571428571,29
"DAMa021","F",69,60,9,0.869565217391304,30
"DAM3D020","T",68,59,9,0.867647058823529,31
"DAM3D045","T",74,64,10,0.864864864864865,32
"DAMa010","T",59,51,8,0.864406779661017,33
"DAMa023","T",72,62,10,0.861111111111111,34
"DAM3D005","T",70,60,10,0.857142857142857,35
"DAMa021","T",62,53,9,0.854838709677419,36
"DAM3D036","T",55,47,8,0.854545454545454,37
"DAM030","P",61,52,9,0.852459016393443,38
"DAMa004","T",66,56,10,0.848484848484849,39
"DAMa012","T",59,50,9,0.847457627118644,40
"DAM3D002","P",65,55,10,0.846153846153846,41
"DAMa014","F",87,73,14,0.839080459770115,42
"DAMa023","F",68,57,11,0.838235294117647,43
"DAMa018","T",79,66,13,0.835443037974684,44
"DAM3D023","F",72,60,12,0.833333333333333,45
"DAMa009","T",72,60,12,0.833333333333333,46
"DAMa002","T",70,58,12,0.828571428571429,47
"DAM055","T",57,47,10,0.824561403508772,48
"DAMa001","F",57,47,10,0.824561403508772,49
"DAM055","F",68,56,12,0.823529411764706,50
"DAMa011","T",82,67,15,0.817073170731707,51
"DAMa010","F",70,57,13,0.814285714285714,52
"DAM055","P",59,48,11,0.813559322033898,53
"DAM018","P",69,56,13,0.811594202898551,54
"DAM3D056","T",69,56,13,0.811594202898551,55
"DAM3D007","P",79,64,15,0.810126582278481,56
"DAMa012","F",63,51,12,0.80952380952381,57
"DAMa018","F",52,42,10,0.807692307692308,58
"DAM3D061","P",62,50,12,0.806451612903226,59
"DAMa006","T",62,50,12,0.806451612903226,60
"DAM033","P",67,54,13,0.805970149253731,61
"DAM3D013","T",58,46,12,0.793103448275862,62
"DAM3D044","T",67,53,14,0.791044776119403,63
"DAM3D065","P",67,53,14,0.791044776119403,64
"DAMa019","F",67,53,14,0.791044776119403,65
"DAMa001","T",57,45,12,0.789473684210526,66
"DAM018","T",51,40,11,0.784313725490196,67
"DAM077","T",74,58,16,0.783783783783784,68
"DAM078","T",50,39,11,0.78,69
"DAMa008","F",72,56,16,0.777777777777778,70
"DAM078","P",84,65,19,0.773809523809524,71
"DAM3D059","T",65,50,15,0.769230769230769,72
"DAMa005","T",69,53,16,0.768115942028985,73
"DAM002","P",73,56,17,0.767123287671233,74
