"","LR_Image","TotalCount","Answer","AnswerCount","diff","DAP_RankRatio"
"1","DAM001_F_DAPedit",52,"DAM001_F_DAPedit",35,17,0.673076923076923
"2","DAM001_P_DAPedit",64,"DAM001_P_DAPedit",28,36,0.4375
"3","DAM001_T_DAPedit",76,"DAM001_T_DAPedit",50,26,0.657894736842105
"4","DAM002_F_DAPedit",69,"DAM002_F_DAPedit",46,23,0.666666666666667
"5","DAM002_P_DAPedit",73,"DAM002_P_DAPedit",56,17,0.767123287671233
"6","DAM002_T_DAPedit",49,"DAM002_T_DAPedit",30,19,0.612244897959184
"7","DAM003_F_DAPedit",81,"DAM003_F_DAPedit",49,32,0.604938271604938
"8","DAM003_P_DAPedit",60,"DAM003_P_DAPedit",37,23,0.616666666666667
"9","DAM003_T_DAPedit",78,"DAM003_T_DAPedit",49,29,0.628205128205128
"10","DAM004_F_DAPedit",52,"DAM004_F_DAPedit",26,26,0.5
"11","DAM004_P_DAPedit",61,"DAM004_P_DAPedit",41,20,0.672131147540984
"12","DAM004_T_DAPedit",65,"DAM004_T_DAPedit",42,23,0.646153846153846
"13","DAM005_F_DAPedit",68,"DAM005_F_DAPedit",19,49,0.279411764705882
"14","DAM005_P_DAPedit",56,"DAM005_P_DAPedit",24,32,0.428571428571429
"15","DAM005_T_DAPedit",52,"DAM005_T_DAPedit",10,42,0.192307692307692
"16","DAM006_F_DAPedit",59,"DAM006_F_DAPedit",20,39,0.338983050847458
"17","DAM006_P_DAPedit",60,"DAM006_P_DAPedit",16,44,0.266666666666667
"18","DAM006_T_DAPedit",72,"DAM006_T_DAPedit",20,52,0.277777777777778
"19","DAM007_F_DAPedit",56,"DAM007_F_DAPedit",21,35,0.375
"20","DAM007_P_DAPedit",69,"DAM007_P_DAPedit",19,50,0.27536231884058
"21","DAM007_T_DAPedit",74,"DAM007_T_DAPedit",32,42,0.432432432432432
"22","DAM008_F_DAPedit",55,"DAM008_F_DAPedit",24,31,0.436363636363636
"23","DAM008_P_DAPedit",71,"DAM008_P_DAPedit",26,45,0.366197183098592
"24","DAM008_T_DAPedit",73,"DAM008_T_DAPedit",36,37,0.493150684931507
"25","DAM009_F_DAPedit",67,"DAM009_F_DAPedit",40,27,0.597014925373134
"26","DAM009_P_DAPedit",55,"DAM009_P_DAPedit",29,26,0.527272727272727
"27","DAM009_T_DAPedit",61,"DAM009_T_DAPedit",39,22,0.639344262295082
"28","DAM010_F_DAPedit",56,"DAM010_F_DAPedit",1,55,0.0178571428571429
"29","DAM010_P_DAPedit",59,"DAM010_P_DAPedit",3,56,0.0508474576271186
"30","DAM010_T_DAPedit",54,"DAM010_T_DAPedit",6,48,0.111111111111111
"31","DAM011_F_DAPedit",70,"DAM011_F_DAPedit",29,41,0.414285714285714
"32","DAM011_P_DAPedit",62,"DAM011_P_DAPedit",35,27,0.564516129032258
"33","DAM011_T_DAPedit",82,"DAM011_T_DAPedit",40,42,0.48780487804878
"34","DAM012_F_DAPedit",65,"DAM012_F_DAPedit",34,31,0.523076923076923
"35","DAM012_P_DAPedit",82,"DAM012_P_DAPedit",35,47,0.426829268292683
"36","DAM012_T_DAPedit",58,"DAM012_T_DAPedit",34,24,0.586206896551724
"37","DAM013_F_DAPedit",53,"DAM013_F_DAPedit",12,41,0.226415094339623
"38","DAM013_P_DAPedit",59,"DAM013_P_DAPedit",5,54,0.0847457627118644
"39","DAM013_T_DAPedit",56,"DAM013_T_DAPedit",14,42,0.25
"40","DAM014_F_DAPedit",55,"DAM014_F_DAPedit",10,45,0.181818181818182
"41","DAM014_P_DAPedit",74,"DAM014_P_DAPedit",17,57,0.22972972972973
"42","DAM014_T_DAPedit",65,"DAM014_T_DAPedit",7,58,0.107692307692308
"43","DAM015_F_DAPedit",62,"DAM015_F_DAPedit",1,61,0.0161290322580645
"44","DAM015_P_DAPedit",60,"DAM015_P_DAPedit",12,48,0.2
"45","DAM015_T_DAPedit",68,"DAM015_T_DAPedit",1,67,0.0147058823529412
"46","DAM016_F_DAPedit",78,"DAM016_F_DAPedit",37,41,0.474358974358974
"47","DAM016_P_DAPedit",68,"DAM016_P_DAPedit",26,42,0.382352941176471
"48","DAM016_T_DAPedit",80,"DAM016_T_DAPedit",35,45,0.4375
"49","DAM018_F_DAPedit",61,"DAM018_F_DAPedit",43,18,0.704918032786885
"50","DAM018_P_DAPedit",69,"DAM018_P_DAPedit",56,13,0.811594202898551
"51","DAM018_T_DAPedit",51,"DAM018_T_DAPedit",40,11,0.784313725490196
"52","DAM019_F_DAPedit",67,"DAM019_F_DAPedit",11,56,0.164179104477612
"53","DAM019_P_DAPedit",59,"DAM019_P_DAPedit",16,43,0.271186440677966
"54","DAM019_T_DAPedit",75,"DAM019_T_DAPedit",12,63,0.16
"55","DAM020_F_DAPedit",77,"DAM020_F_DAPedit",23,54,0.298701298701299
"56","DAM020_P_DAPedit",69,"DAM020_P_DAPedit",31,38,0.449275362318841
"57","DAM020_T_DAPedit",77,"DAM020_T_DAPedit",33,44,0.428571428571429
"58","DAM021_F_DAPedit",73,"DAM021_F_DAPedit",35,38,0.479452054794521
"59","DAM021_T_DAPedit",77,"DAM021_T_DAPedit",50,27,0.649350649350649
"60","DAM022_F_DAPedit",72,"DAM022_F_DAPedit",17,55,0.236111111111111
"61","DAM022_P_DAPedit",62,"DAM022_P_DAPedit",5,57,0.0806451612903226
"62","DAM023_P_DAPedit",55,"DAM023_P_DAPedit",7,48,0.127272727272727
"63","DAM024_F_DAPedit",69,"DAM024_F_DAPedit",9,60,0.130434782608696
"64","DAM024_P_DAPedit",57,"DAM024_P_DAPedit",8,49,0.140350877192982
"65","DAM024_T_DAPedit",65,"DAM024_T_DAPedit",11,54,0.169230769230769
"66","DAM025_F_DAPedit",71,"DAM025_F_DAPedit",34,37,0.47887323943662
"67","DAM025_P_DAPedit",72,"DAM025_P_DAPedit",48,24,0.666666666666667
"68","DAM025_T_DAPedit",47,"DAM025_T_DAPedit",32,15,0.680851063829787
"69","DAM026_F_DAPedit",53,"DAM026_F_DAPedit",35,18,0.660377358490566
"70","DAM026_P_DAPedit",64,"DAM026_P_DAPedit",42,22,0.65625
"71","DAM026_T_DAPedit",70,"DAM026_T_DAPedit",44,26,0.628571428571429
"72","DAM027_F_DAPedit",58,"DAM027_F_DAPedit",13,45,0.224137931034483
"73","DAM027_P_DAPedit",68,"DAM027_P_DAPedit",34,34,0.5
"74","DAM027_T_DAPedit",74,"DAM027_T_DAPedit",31,43,0.418918918918919
"75","DAM028_F_DAPedit",61,"DAM028_F_DAPedit",23,38,0.377049180327869
"76","DAM028_P_DAPedit",63,"DAM028_P_DAPedit",23,40,0.365079365079365
"77","DAM028_T_DAPedit",70,"DAM028_T_DAPedit",25,45,0.357142857142857
"78","DAM029_F_DAPedit",74,"DAM029_F_DAPedit",47,27,0.635135135135135
"79","DAM029_P_DAPedit",72,"DAM029_P_DAPedit",44,28,0.611111111111111
"80","DAM029_T_DAPedit",63,"DAM029_T_DAPedit",41,22,0.650793650793651
"81","DAM030_F_DAPedit",67,"DAM030_F_DAPedit",46,21,0.686567164179104
"82","DAM030_P_DAPedit",61,"DAM030_P_DAPedit",52,9,0.852459016393443
"83","DAM030_T_DAPedit",89,"DAM030_T_DAPedit",60,29,0.674157303370786
"84","DAM031_F_DAPedit",58,"DAM031_F_DAPedit",30,28,0.517241379310345
"85","DAM031_P_DAPedit",52,"DAM031_P_DAPedit",34,18,0.653846153846154
"86","DAM031_T_DAPedit",69,"DAM031_T_DAPedit",50,19,0.72463768115942
"87","DAM032_P_DAPedit",68,"DAM032_P_DAPedit",8,60,0.117647058823529
"88","DAM033_F_DAPedit",70,"DAM033_F_DAPedit",39,31,0.557142857142857
"89","DAM033_P_DAPedit",67,"DAM033_P_DAPedit",54,13,0.805970149253731
"90","DAM033_T_DAPedit",66,"DAM033_T_DAPedit",48,18,0.727272727272727
"91","DAM035_F_DAPedit",67,"DAM035_F_DAPedit",37,30,0.552238805970149
"92","DAM035_P_DAPedit",62,"DAM035_P_DAPedit",41,21,0.661290322580645
"93","DAM035_T_DAPedit",66,"DAM035_T_DAPedit",35,31,0.53030303030303
"94","DAM036_F_DAPedit",58,"DAM036_F_DAPedit",32,26,0.551724137931034
"95","DAM036_P_DAPedit",56,"DAM036_P_DAPedit",26,30,0.464285714285714
"96","DAM036_T_DAPedit",71,"DAM036_T_DAPedit",45,26,0.633802816901408
"97","DAM037_F_DAPedit",63,"DAM037_F_DAPedit",36,27,0.571428571428571
"98","DAM037_P_DAPedit",66,"DAM037_P_DAPedit",44,22,0.666666666666667
"99","DAM037_T_DAPedit",68,"DAM037_T_DAPedit",47,21,0.691176470588235
"100","DAM039_P_DAPedit",51,"DAM039_P_DAPedit",29,22,0.568627450980392
"101","DAM040_F_DAPedit",72,"DAM040_F_DAPedit",40,32,0.555555555555556
"102","DAM040_P_DAPedit",71,"DAM040_P_DAPedit",25,46,0.352112676056338
"103","DAM040_T_DAPedit",69,"DAM040_T_DAPedit",21,48,0.304347826086957
"104","DAM041_F_DAPedit",72,"DAM041_F_DAPedit",6,66,0.0833333333333333
"105","DAM041_P_DAPedit",60,"DAM041_P_DAPedit",4,56,0.0666666666666667
